,F1_S1,F1_S2,F2_S2,LPC_Coefficient2,LPC_Coefficient5,LPC_Coefficient8,LPC_Coefficient10,LPC_Coefficient11,LPC_Coefficient14
0,0.011719,0.015625,0.0,-0.28193,-0.0013390999999999998,0.033643,-0.031669,0.21393,-0.06478400000000001
1,0.005859399999999999,0.019531,0.046875,0.12774000000000002,0.08201900000000001,0.16446,0.032451999999999995,0.086136,0.044185
2,0.011719,0.0078125,0.011719,-0.03347,-0.0048314,0.074129,-0.018207,0.075222,0.041072000000000004
3,0.011719,0.011719,0.046875,0.019344999999999998,-0.092407,0.14155,0.23258,-0.11746,0.14203
4,0.011719,0.011719,0.023438,-0.043268,0.046792,0.042316,0.018169,0.025151,0.059226999999999995
5,0.017578,0.0078125,0.015625,2.4412,4.3197,4.1741,2.9739,2.2345,0.49049
6,0.0078125,0.015625,0.0078125,0.07838200000000001,0.13345,0.098286,0.016121,-0.025372,0.070892
7,0.0078125,0.0078125,0.0078125,3.7223,5.4522,4.427,3.1271,2.4116,0.6008899999999999
8,0.013672,0.0078125,0.046875,-0.027987,0.19205,0.11072,0.11012999999999999,0.061905999999999996,0.02029
9,0.011719,0.011719,0.019531,-0.055175,-0.010666,0.15719,0.034174,0.028201,0.081506
10,0.0078125,0.0039062,0.054688,-0.040272,0.030463999999999998,0.041761,0.057036,0.055174,0.025733999999999996
11,0.011719,0.013672,0.027344,-0.16165,0.072487,0.034035,0.072225,0.034151999999999995,-0.023523
12,0.0078125,0.009765600000000001,0.023438,-0.14854,0.11030999999999999,0.026772000000000004,0.046447,0.096515,-0.02251
13,0.039062,0.015625,0.023438,0.29029,-0.10031,-0.058721,-0.038212,0.010293,-0.079553
14,0.0078125,0.017578,0.0078125,-0.45137,0.084744,0.14068,0.14093,0.0063683,-0.089348
15,0.0078125,0.015625,0.019531,-0.08115,0.0054621,0.10895999999999999,0.011802,-0.0098781,0.097633
16,0.027344,0.03125,0.0078125,-0.05914,0.11225999999999998,0.048025,0.05137100000000001,0.00040196,-0.037509
17,0.015625,0.011719,0.023438,-0.065719,-0.0033985,0.0834,0.0029918,0.020786000000000002,0.018642
18,0.0078125,0.015625,0.039062,0.30916,-0.07331599999999999,0.06442300000000001,-0.041000999999999996,-0.025518,-0.032282
19,0.0078125,0.011719,0.03125,0.034582999999999996,0.24365,0.02671,0.031684,0.036941,0.028902999999999998
20,0.0078125,0.015625,0.03125,-0.14735,0.015823,0.011379,0.029905,0.025436,0.0014272
21,0.011719,0.0078125,0.035156,0.10920999999999999,0.038126,0.179,0.22213000000000002,-0.010581,0.0053939999999999995
22,0.029297000000000004,0.039062,0.011719,0.50598,0.065327,0.070855,0.01645,0.04868,-0.022607
23,0.011719,0.09375,0.046875,0.26454,0.0097186,0.12118,0.10826,0.079016,0.06849
24,0.005859399999999999,0.011719,0.015625,-0.10032,0.076126,0.04362,0.021523,0.006675,0.0094428
25,0.0078125,0.013672,0.046875,-0.059735,-0.074017,0.15946,0.073904,0.093805,-0.012484
26,0.023438,0.0078125,0.023438,0.45711999999999997,-0.1834,-0.21159,0.013706,0.015125999999999999,-0.14049
27,0.023438,0.015625,0.039062,-0.10482000000000001,0.010532,-0.033877,0.19303,-0.07281499999999999,0.12334
28,0.0078125,0.015625,0.0078125,0.33995,-0.038821,0.13402,0.14464000000000002,-0.028314999999999996,0.05851900000000001
29,0.015625,0.011719,0.0078125,0.51195,-0.069393,0.20243,0.0079104,0.055640999999999996,0.058732000000000006
30,0.03125,0.035156,0.0078125,-0.30494,-0.0058863,0.15565,0.11055999999999999,0.040934,0.038218
31,0.015625,0.0078125,0.019531,-0.27899,0.09396,0.088474,0.05354299999999999,-0.12205,-0.043314
32,0.035156,0.019531,0.0078125,-0.16162,0.077963,0.01775,0.089793,0.050957999999999996,0.1105
33,0.0078125,0.015625,0.015625,-0.11474000000000001,0.021584,0.061173000000000005,0.015328999999999999,0.024395,0.0056931
34,0.0078125,0.0078125,0.0078125,0.018701,0.056663,0.022236000000000002,0.060496,0.11306,0.053388
35,0.015625,0.011719,0.027344,-0.39323,0.13083,0.16234,0.11648,0.13183,0.036941
36,0.0078125,0.0039062,0.015625,-0.10091,0.06540599999999999,0.16249,0.03924,0.015497,0.027752
37,0.015625,0.015625,0.0078125,-0.33609,0.036557,0.067925,0.077363,0.00070209,0.010627
38,0.0039062,0.015625,0.015625,0.48485,-0.073291,0.29705,0.15659,0.00298,0.16601
39,0.0078125,0.03125,0.015625,0.15793,-0.081815,0.26542,0.13245,-0.036220999999999996,0.075879
40,0.0078125,0.0078125,0.039062,-0.07337300000000001,0.23697,0.10182999999999999,0.05956,0.0011134,-0.020765000000000002
41,0.011719,0.015625,0.03125,-0.38277,0.32918000000000003,0.11964000000000001,-0.010389,0.021434,0.0086223
42,0.015625,0.015625,0.03125,-0.27126,0.046656,0.0044317,-0.0048714,-0.033681,0.011381
43,0.019531,0.046875,0.005859399999999999,-0.61173,-0.002732,0.02908,0.033799,-0.05889400000000001,-0.03042
44,0.03125,0.023438,0.015625,0.18553,0.22766,0.081177,0.0014229000000000002,0.019356,-0.13344
45,0.0078125,0.0078125,0.03125,-0.24101999999999998,0.0028426,-0.20181,0.35946999999999996,-0.034276999999999995,0.091698
46,0.23438,0.0078125,0.14453,1.5662,1.1447,0.81176,0.53389,0.46368000000000004,0.070643
47,0.0078125,0.0078125,0.023438,-0.14532,0.015281,0.092021,0.048186,0.047776,-0.042994
48,0.011719,0.011719,0.0078125,-0.13342,0.10942,0.062366,0.07708999999999999,-0.023028,-0.00044845
49,0.015625,0.011719,0.0039062,-0.037237,0.056237,0.068162,0.031299,-0.007035300000000001,-0.027326999999999997
50,0.015625,0.015625,0.015625,3.3966,5.586,4.7355,3.222,2.37,0.41684
51,0.011719,0.023438,0.015625,-0.27543,0.080404,0.066725,0.085199,0.12627,0.081353
52,0.015625,0.009765600000000001,0.017578,-0.18905999999999998,0.07975499999999999,0.018982,0.020572,0.016699000000000002,0.0016989000000000001
53,0.0078125,0.0078125,0.015625,-0.31483,0.0072947,0.066748,0.11996,-0.040103,-0.039922000000000006
54,0.009765600000000001,0.011719,0.03125,-0.14359,0.060377999999999994,0.10807,-0.038158,-0.08411,0.10632
55,0.011719,0.011719,0.019531,0.47368999999999994,0.1902,0.16872,0.11678,0.11997000000000001,0.10955999999999999
56,0.011719,0.015625,0.0078125,-0.083844,0.085939,0.02213,0.040427,-0.043559,0.063958
57,0.0078125,0.0078125,0.015625,-0.15439,0.1416,0.039331,0.039895,0.0026465,0.011699
58,0.011719,0.023438,0.0078125,0.095092,0.21461,0.008352799999999999,0.20818000000000003,-0.057947000000000005,-0.0031094
59,0.03125,0.03125,0.042969,-0.15617999999999999,0.15081,0.15253,0.047757,-0.018068999999999998,0.038422000000000005
60,0.0078125,0.0078125,0.03125,-0.011000000000000001,0.015366999999999999,0.13492,0.059479,0.0089899,0.02054
